[2026-08-18 20:17:41,563] WARNING [django.server:212] "GET /api/subscriptions/ HTTP/1.1" 401 275
[2026-08-18 20:17:41,565] WARNING [django.server:212] "GET /api/deliveries/ HTTP/1.1" 401 275
[2026-08-18 20:17:41,588] WARNING [django.server:212] "GET /api/wallet/transactions/ HTTP/1.1" 401 275
[2026-08-18 20:17:41,590] WARNING [django.server:212] "GET /api/notifications/ HTTP/1.1" 401 275
[2026-08-18 20:19:11,350] WARNING [django.server:212] "GET /api/auth/me/ HTTP/1.1" 401 275
[2026-08-18 20:19:11,355] INFO [django.server:212] "GET /api/products/ HTTP/1.1" 200 9112
[2026-08-18 20:19:11,386] WARNING [django.server:212] "GET /api/subscriptions/ HTTP/1.1" 401 275
[2026-08-18 20:19:11,404] WARNING [django.server:212] "GET /api/deliveries/ HTTP/1.1" 401 275
[2026-08-18 20:19:11,406] WARNING [django.server:212] "GET /api/wallet/transactions/ HTTP/1.1" 401 275
[2026-08-18 20:19:11,407] WARNING [django.server:212] "GET /api/notifications/ HTTP/1.1" 401 275
[2026-08-18 20:27:15,257] INFO [django.utils.autoreload:265] /Users/galimanideepreddy/Documents/milk_delivery/milk_delivery_backend/apps/accounts/models.py changed, reloading.
[2026-08-18 20:27:15,541] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2026-08-18 20:27:19,733] INFO [django.utils.autoreload:265] /Users/galimanideepreddy/Documents/milk_delivery/milk_delivery_backend/apps/accounts/serializers.py changed, reloading.
[2026-08-18 20:27:19,886] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2026-08-18 20:27:28,149] INFO [django.utils.autoreload:265] /Users/galimanideepreddy/Documents/milk_delivery/milk_delivery_backend/apps/deliveries/serializers.py changed, reloading.
[2026-08-18 20:27:28,349] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2026-08-18 20:30:18,540] WARNING [django.server:212] "GET /api/auth/me/ HTTP/1.1" 401 275
[2026-08-18 20:30:18,566] INFO [django.server:212] "GET /api/products/ HTTP/1.1" 200 9112
[2026-08-18 20:30:18,577] WARNING [django.server:212] "GET /api/subscriptions/ HTTP/1.1" 401 275
[2026-08-18 20:30:18,579] WARNING [django.server:212] "GET /api/deliveries/ HTTP/1.1" 401 275
[2026-08-18 20:30:18,581] WARNING [django.server:212] "GET /api/wallet/transactions/ HTTP/1.1" 401 275
[2026-08-18 20:30:18,582] WARNING [django.server:212] "GET /api/notifications/ HTTP/1.1" 401 275
[2026-08-18 20:54:17,828] WARNING [django.server:212] "GET /api/auth/me/ HTTP/1.1" 401 275
[2026-08-18 20:54:17,859] INFO [django.server:212] "GET /api/products/ HTTP/1.1" 200 9112
[2026-08-18 20:54:17,871] WARNING [django.server:212] "GET /api/subscriptions/ HTTP/1.1" 401 275
[2026-08-18 20:54:17,872] WARNING [django.server:212] "GET /api/deliveries/ HTTP/1.1" 401 275
[2026-08-18 20:54:17,874] WARNING [django.server:212] "GET /api/wallet/transactions/ HTTP/1.1" 401 275
[2026-08-18 20:54:17,875] WARNING [django.server:212] "GET /api/notifications/ HTTP/1.1" 401 275
[2026-08-18 21:58:01,003] INFO [django.server:212] "GET /api/health/ HTTP/1.1" 200 293
[2026-08-18 21:58:01,018] INFO [django.server:212] "GET /api/products/ HTTP/1.1" 200 9112
[2026-08-18 21:58:07,101] WARNING [django.server:212] "POST /api/auth/otp/verify/ HTTP/1.1" 404 6290
[2026-08-18 21:58:07,110] WARNING [django.server:212] "POST /api/auth/otp/verify/ HTTP/1.1" 404 6290
[2026-08-18 21:58:07,118] WARNING [django.server:212] "POST /api/auth/otp/verify/ HTTP/1.1" 404 6290
[2026-08-18 21:58:14,142] INFO [django.server:212] "POST /api/auth/verify-otp/ HTTP/1.1" 200 893
[2026-08-18 21:58:14,150] INFO [django.server:212] "POST /api/auth/verify-otp/ HTTP/1.1" 200 908
[2026-08-18 21:58:14,159] INFO [django.server:212] "POST /api/auth/verify-otp/ HTTP/1.1" 200 940
[2026-08-18 21:58:21,362] INFO [django.server:212] "POST /api/auth/verify-otp/ HTTP/1.1" 200 908
[2026-08-18 21:58:21,374] INFO [django.server:212] "GET /api/deliveries/ HTTP/1.1" 200 1223
[2026-08-18 22:00:00,632] WARNING [django.server:212] "GET /api/auth/me/ HTTP/1.1" 401 275
[2026-08-18 22:00:00,666] INFO [django.server:212] "GET /api/products/ HTTP/1.1" 200 9112
[2026-08-18 22:00:00,677] WARNING [django.server:212] "GET /api/subscriptions/ HTTP/1.1" 401 275
[2026-08-18 22:00:00,679] WARNING [django.server:212] "GET /api/deliveries/ HTTP/1.1" 401 275
[2026-08-18 22:00:00,681] WARNING [django.server:212] "GET /api/wallet/transactions/ HTTP/1.1" 401 275
[2026-08-18 22:00:00,683] WARNING [django.server:212] "GET /api/notifications/ HTTP/1.1" 401 275
[2026-08-18 22:01:10,793] WARNING [django.server:212] "GET /api/auth/me/ HTTP/1.1" 401 275
[2026-08-18 22:01:10,805] INFO [django.server:212] "GET /api/products/ HTTP/1.1" 200 9112
[2026-08-18 22:01:10,835] WARNING [django.server:212] "GET /api/subscriptions/ HTTP/1.1" 401 275
[2026-08-18 22:01:10,837] WARNING [django.server:212] "GET /api/deliveries/ HTTP/1.1" 401 275
[2026-08-18 22:01:10,839] WARNING [django.server:212] "GET /api/wallet/transactions/ HTTP/1.1" 401 275
